CFSAUID,DGUID,PRUID,PRNAME,LANDAREA,npop_count
N9G,2021A0011N9G,35,Ontario,9.9407,
N9H,2021A0011N9H,35,Ontario,24.3842,
N9J,2021A0011N9J,35,Ontario,49.31,
N9K,2021A0011N9K,35,Ontario,8.5232,
N9V,2021A0011N9V,35,Ontario,137.9016,
N9Y,2021A0011N9Y,35,Ontario,76.6327,
P0A,2021A0011P0A,35,Ontario,4150.6682,
P0B,2021A0011P0B,35,Ontario,869.5903,
P0C,2021A0011P0C,35,Ontario,873.0947,
P0E,2021A0011P0E,35,Ontario,367.6774,
P0G,2021A0011P0G,35,Ontario,788.8151,
P0H,2021A0011P0H,35,Ontario,18206.2677,
P0J,2021A0011P0J,35,Ontario,8531.4233,
P0K,2021A0011P0K,35,Ontario,14618.404,
P0L,2021A0011P0L,35,Ontario,126824.8916,
P0M,2021A0011P0M,35,Ontario,63926.0532,
P0N,2021A0011P0N,35,Ontario,1654.6428,
P0P,2021A0011P0P,35,Ontario,4663.9828,
P0R,2021A0011P0R,35,Ontario,9014.5396,
P0S,2021A0011P0S,35,Ontario,13260.6608,
P0T,2021A0011P0T,35,Ontario,94591.9474,
P0V,2021A0011P0V,35,Ontario,374847.0227,
P0W,2021A0011P0W,35,Ontario,14646.5332,
P0X,2021A0011P0X,35,Ontario,18785.2943,
P0Y,2021A0011P0Y,35,Ontario,78.8305,
P1A,2021A0011P1A,35,Ontario,18.5185,
P1B,2021A0011P1B,35,Ontario,547.3026,
P1C,2021A0011P1C,35,Ontario,5.9895,
P1H,2021A0011P1H,35,Ontario,815.5869,
P1L,2021A0011P1L,35,Ontario,680.4089,
P1P,2021A0011P1P,35,Ontario,379.3228,
P2A,2021A0011P2A,35,Ontario,903.3394,
P2B,2021A0011P2B,35,Ontario,65.588,
P2N,2021A0011P2N,35,Ontario,21.9581,
P3A,2021A0011P3A,35,Ontario,46.7649,
P3B,2021A0011P3B,35,Ontario,21.2363,
P3C,2021A0011P3C,35,Ontario,10.8105,
P3E,2021A0011P3E,35,Ontario,1096.0516,
P3G,2021A0011P3G,35,Ontario,266.1714,
P3L,2021A0011P3L,35,Ontario,128.8018,
P3N,2021A0011P3N,35,Ontario,115.8818,
P3P,2021A0011P3P,35,Ontario,492.1684,
